# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-04-03 09:43:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 1302950853 (Default)
# output
#   file = full_sibs_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_mother,mother_age_hochdorf,mother_age_asperg,age_hochdorf,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.323693
# Diagonal elements of inverse mass matrix:
# 261.07, 0.752545, 0.123158, 0.0555211, 0.0852692
12.0707,0.887825,0.323693,3,7,0,-9.52553,-582.831,13.0978,44.3557,43.3241,38.1109,-526.409,-500.364
8.99228,0.856716,0.323693,3,7,0,-7.90059,-585.291,49.931,29.0221,33.3828,37.5813,-501.977,-518.688
9.48591,0.97927,0.323693,3,7,0,-7.45936,-591.652,26.1373,32.0893,31.9644,31.4493,-533.55,-528.113
8.12972,0.96031,0.323693,2,3,0,-7.64838,-593.573,22.9704,28.3419,32.7433,31.3958,-537.86,-533.836
9.11688,1,0.323693,3,7,0,-7.08312,-567.66,12.1741,64.092,43.9584,31.4613,-511.528,-472.107
10.9312,0.997375,0.323693,3,11,0,-7.56147,-572.806,18.4919,48.6106,47.9916,23.01,-506.322,-501.185
9.38151,0.865315,0.323693,2,3,0,-7.50817,-569.611,18.8743,64.0747,46.4568,23.1815,-504.28,-482.355
10.0827,0.856188,0.323693,3,15,0,-6.14587,-611.788,37.6411,37.9043,42.2606,48.1047,-531.887,-525.779
9.79775,0.602554,0.323693,3,7,0,-5.72177,-595.972,19.2573,55.3608,61.1686,48.4414,-515.546,-492.17
11.8058,1,0.323693,3,7,0,-9.6773,-593.242,18.6728,53.3751,52.9254,41.6431,-521.644,-498.224
11.4961,0.964856,0.323693,3,15,0,-10.5275,-574.762,34.9208,42.7666,29.6947,32.7133,-510.146,-499.282
12.664,0.994886,0.323693,3,15,0,-10.997,-591.363,28.1494,45.8844,42.3494,43.4893,-520.865,-501.99
10.1002,0.950631,0.323693,3,15,0,-9.68657,-553.589,19.7499,31.7831,27.5082,29.2566,-506.331,-492.549
8.72092,0.836009,0.323693,3,15,0,-6.4501,-585.31,8.83419,36.7587,31.8294,48.7245,-544.646,-499.826
6.29322,0.994167,0.323693,3,7,0,-5.45535,-538.813,28.1941,20.824,27.4291,26.5343,-483.19,-491.455
6.85966,1,0.323693,3,7,0,-5.48623,-556.031,9.96767,16.9513,26.0163,24.7891,-520.047,-514.291
7.51933,0.797875,0.323693,3,15,0,-4.43796,-553.2,5.14469,49.3349,50.9616,25.5809,-497.094,-478.285
10.0882,1,0.323693,3,7,0,-6.68247,-557.035,8.72467,46.2129,41.1175,27.8386,-507.192,-482.983
10.1773,0.906886,0.323693,3,15,0,-7.2445,-582.829,7.9891,32.3488,53.4839,40.0827,-521.356,-510.397
11.8408,0.991459,0.323693,4,15,0,-8.47106,-577.366,28.8031,45.9161,36.6637,26.3161,-511.9,-505.134
11.3116,0.90753,0.323693,3,15,0,-9.96812,-582.625,23.8569,64.0348,38.2992,31.3311,-520.469,-487.259
9.69392,0.939408,0.323693,3,7,0,-8.92827,-591.696,23.989,34.1236,58.6982,34.0556,-509.008,-523.516
10.6714,0.845804,0.323693,3,7,0,-5.68154,-595.874,16.5842,36.7905,47.606,51.5496,-531.683,-507.533
11.7889,0.997047,0.323693,4,15,0,-10.0089,-593.586,36.8125,57.8433,48.4856,38.2812,-508.288,-497.461
11.6138,0.993589,0.323693,3,7,0,-10.607,-603.37,23.8484,47.7658,47.9068,36.91,-531.615,-518.694
10.4389,0.933727,0.323693,2,3,0,-10.1492,-605.746,20.2499,42.8969,48.056,37.3538,-537.44,-525.495
11.494,1,0.323693,3,7,0,-10.0037,-584.021,14.7592,41.1605,35.742,35.6797,-533.519,-507.18
12.4838,0.999724,0.323693,2,7,0,-11.4375,-577.911,17.5444,41.8701,40.0723,36.2884,-520.295,-499.753
12.6546,0.993598,0.323693,3,7,0,-12.2829,-577.61,21.2384,42.4559,40.4901,37.7239,-515.881,-497.43
11.8644,0.981166,0.323693,3,7,0,-11.5937,-593.337,31.6037,52.2949,33.344,33.1842,-528.389,-507.858
11.4398,0.970467,0.323693,3,15,0,-10.4833,-597.875,23.7729,37.7133,51.8935,43.7154,-522.208,-516.446
11.6571,0.946861,0.323693,3,7,0,-10.0975,-594.074,22.2448,55.1154,46.5352,47.6545,-525.294,-491.304
9.12787,0.902422,0.323693,3,15,0,-8.65631,-566.405,22.7886,25.4782,29.1928,23.7871,-514.423,-517.139
8.27362,0.999627,0.323693,3,7,0,-6.51172,-548.782,15.208,15.4805,34.0258,43.1258,-499.549,-490.176
10.3787,0.99496,0.323693,4,15,0,-6.90908,-569.948,23.1398,21.5366,42.3078,46.4504,-504.5,-501.961
11.8083,0.78251,0.323693,3,7,0,-6.52046,-579.175,33.2586,32.4854,39.1729,39.0791,-506.743,-507.61
10.2104,0.952568,0.323693,3,7,0,-9.29414,-572.983,20.3132,36.6151,38.9746,53.865,-513.695,-482.503
8.87935,0.837656,0.323693,3,7,0,-7.05517,-588.595,18.9385,29.3895,35.4543,28.941,-534.203,-530.265
11.1369,1,0.323693,3,7,0,-8.50937,-578.248,41.493,41.9636,38.1298,33.1606,-498.625,-503.123
10.8716,1,0.323693,3,15,0,-9.60635,-586.772,15.3039,51.9761,43.2317,23.82,-528.237,-510.976
10.1397,0.930634,0.323693,3,7,0,-7.69397,-563.788,16.9766,39.6039,42.6605,19.6351,-504.151,-504.549
11.7135,0.977019,0.323693,3,7,0,-9.10335,-577.815,19.5809,46.1752,45.0172,25.433,-513.217,-506.207
10.3735,0.931546,0.323693,2,3,0,-10.0754,-574.606,29.851,60.0365,44.7648,24.9313,-499.991,-489.639
10.5187,1,0.323693,3,7,0,-9.65806,-594.343,23.1529,35.5838,44.4358,56.3951,-526.755,-502.364
10.6137,0.959863,0.323693,2,3,0,-9.32796,-589.987,33.6175,37.1895,40.3258,56.331,-516.043,-496.466
11.3633,0.974428,0.323693,3,15,0,-8.62955,-571.878,18.1787,31.0031,32.3371,34.315,-521.362,-506.56
10.4909,0.977863,0.323693,3,7,0,-9.47383,-558.603,19.1789,42.3329,27.3035,29.4595,-512.121,-486.811
9.04602,0.923832,0.323693,2,7,0,-7.20384,-573.148,28.923,33.6998,22.2188,25.3433,-522.006,-514.105
10.188,0.975127,0.323693,3,15,0,-7.07793,-576.734,30.7988,45.2497,25.8676,47.4223,-520.067,-484.062
10.4312,0.856626,0.323693,3,7,0,-7.69726,-586.108,10.86,42.0225,43.9233,27.2697,-531.325,-516.816
12.521,0.672679,0.323693,3,7,0,-7.34868,-597.104,28.1078,50.0846,47.5828,37.8946,-521.414,-509.125
11.8889,0.932879,0.323693,2,7,0,-9.22243,-589.7,32.1749,57.4974,33.9901,32.2804,-523.535,-499.922
11.6903,0.953365,0.323693,3,7,0,-9.0739,-607.934,32.0916,61.4195,47.9706,43.3889,-527.872,-503.126
11.9466,0.972879,0.323693,3,7,0,-10.6902,-601.788,30.3173,44.5921,46.3669,47.9397,-525.103,-509.256
9.74778,0.881318,0.323693,4,15,0,-8.69597,-603.099,28.3339,57.6882,37.0192,54.9264,-537.746,-490.485
9.49895,0.915723,0.323693,3,7,0,-6.82999,-621.869,51.7922,65.4061,41.2758,38.6993,-528.801,-517.764
11.1738,0.609562,0.323693,4,15,0,-8.00227,-567.155,17.9017,30.0217,47.2831,36,-501.97,-501.133
